Name,ISIN,Symbol,Market,Currency,Turnover,MIC
SNCB/NMBS -Jce/Gen,BE0010621481,-,Euronext Expert Market,EUR,1.70,VPXB
SNOWFLAKE,US8334451098,4SNOW,EuroTLX,EUR,18350.00,ETLX
SOC EDIT IL FATTO,IT0005353484,SEIF,Euronext Growth Milan,EUR,3736.00,EXGM
SOC FRANC CASINOS,FR0010209809,SFCA,Euronext Paris,EUR,226.80,XPAR
SOCIETE GENERALE,FR0000130809,4GLE,EuroTLX,EUR,7354.50,ETLX
SOCIETE GENERALE,FR0000130809,GLE,Euronext Paris,EUR,83565098.00,XPAR
SOCLINPAR,QX0000022625,-,Euronext Expert Market,EUR,304.92,VPXB
SODEXO,FR0000121220,SW,Euronext Paris,EUR,9093307.30,XPAR
SODEXO,FR0000121220,4SW,EuroTLX,EUR,467.10,ETLX
SODITECH,FR0000078321,SEC,Euronext Paris,EUR,472.50,XPAR
SOFINA,BE0003717312,SOF,Euronext Brussels,EUR,8897680.70,XBRU
SOFTIMAT,BE0003773877,SOFT,Euronext Growth Brussels,EUR,156.60,ALXB
SOFTLAB,IT0001469953,SFT,Euronext Milan,EUR,16637935,MTAA
SOFTOX SOLUTIONS,NO0010811961,SOFTX,Euronext Growth Oslo,NOK,380407374,MERK
SOFTWAREONE HOLD,CH0496451508,SWON,Oslo Børs,NOK,2530558.46,XOSL
SOGECLAIR,FR0000065864,ALSOG,Euronext Growth Paris,EUR,20877.10,ALXP
SOGEFI,IT0000076536,SGF,Euronext Milan,EUR,1677517.40,MTAA
SOGES GROUP,IT0005597411,SOGES,Euronext Growth Milan,EUR,1791.00,EXGM
SOGN SPAREBANK,NO0006000603,SOGN,Oslo Børs,NOK,10197.45,XOSL
SOILTECH,NO0010713571,STECH,Euronext Expand Oslo,NOK,46073.60,XOAS
SOITEC,FR0013227113,SOI,Euronext Paris,EUR,34556600.68,XPAR
SOL,IT0001206769,SOL,Euronext Milan,EUR,686229.65,MTAA
SOL CAP MANAG SIM,IT0005200248,SCM,Euronext Growth Milan,EUR,1272.00,EXGM
SOLID WORLD GROUP,IT0005497893,S3D,Euronext Growth Milan,EUR,57861375,EXGM
SOLOCAL GROUP,FR001400SA10,LOCAL,Euronext Paris,EUR,29669.25,XPAR
SOLSTAD MARITIME,NO0013135368,SOMA,Oslo Børs,NOK,7866199.90,XOSL
SOLSTAD OFFSHORE,NO0003080608,SOFF,Oslo Børs,NOK,6395167.60,XOSL
SOLUTIONS 30 SE,FR0013379484,S30,Euronext Paris,EUR,911977.4065,XPAR
SOLVAC NOM(RETAIL),BE0003545531,SOLV,Euronext Brussels,EUR,136782.60,XBRU
SOLVAY,BE0003470755,4SOLBM,EuroTLX,EUR,2978.00,ETLX
SOLVAY,BE0003470755,SOLB,"Euronext Brussels, Paris",EUR,8237999.47,
SOLVAY (CP 41),BE0099887748,-,Euronext Expert Market,EUR,96.00,VPXB
SOMEC,IT0005329815,SOM,Euronext Milan,EUR,47703.00,MTAA
SONAE,PTSON0AM0001,SON,Euronext Lisbon,EUR,2295893.10,XLIS
SONAECOM,SGPS,PTSNC0AM0006,SNC,Euronext Lisbon,6644,
SONAGI,PTSNG0AM0007,SNG,Euronext Access Lisbon,EUR,117.00,XMLI
SOPRA STERIA GROUP,FR0000050809,SOP,Euronext Paris,EUR,5579978.30,XPAR
SOSTRAVEL.COM,IT0005338675,SOS,Euronext Growth Milan,EUR,15669.50,EXGM
SPADEL,BE0003798155,SPA,Euronext Brussels,EUR,8772.00,XBRU
SPANISH RETAIL INV,ES0105826004,-,Euronext Expert Market,EUR,-,VPXB
SPARBNK 68 GR NORD,NO0010887110,SB68,Euronext Growth Oslo,NOK,12241.36,MERK
SPAREBANK 1 SMN,NO0006390301,MING,Oslo Børs,NOK,13114421.40,XOSL
SPAREBANK 1 SØR-N,NO0010631567,SB1NO,Oslo Børs,NOK,16363809.60,XOSL
SPAREBANKEN MØRE,NO0012483207,MORG,Oslo Børs,NOK,851930.84,XOSL
SPAREBANKEN NORGE,NO0006000900,SBNOR,Oslo Børs,NOK,11355262.84,XOSL
SPAREBANKEN ØST,NO0006222009,SPOG,Oslo Børs,NOK,945987.84,XOSL
SPARTOO,FR00140043Y1,ALSPT,Euronext Growth Paris,EUR,532844,ALXP
SPBK 1 NORDMØRE,NO0010691660,SNOR,Oslo Børs,NOK,127357.12,XOSL
SPBK 1 ØSTLANDET,NO0010751910,SPOL,Oslo Børs,NOK,2958170.32,XOSL
SPBK1 HELGELAND,NO0010029804,HELG,Oslo Børs,NOK,118725.58,XOSL
SPBK1 NORD-NORGE,NO0006000801,NONG,Oslo Børs,NOK,11020418.04,XOSL
SPBK1 RINGERIKE,NO0006390400,RING,Oslo Børs,NOK,199000.00,XOSL
SPBK1 ØSTFOLD AKE,NO0010285562,SOAG,Oslo Børs,NOK,220138.60,XOSL
